GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement Coverage,Branch Coverage,Code Complexity
Apache Commons Pool,org.apache.commons.pool2.impl,DefaultPooledObject,46,262,3,25,10,78,5,32,2,21,88.63636364,89.28571429,37
Apache Commons Pool,org.apache.commons.pool2.impl,LinkedBlockingDeque.Itr,0,14,0,0,0,3,0,3,0,3,100,,3
Apache Commons Pool,org.apache.commons.pool2.impl,ThrowableCallStack,5,64,0,6,0,19,0,7,0,4,100,100,7
Apache Commons Pool,org.apache.commons.pool2.impl,AbandonedConfig,65,76,0,0,15,29,1,15,1,15,65.90909091,,16
Apache Commons Pool,org.apache.commons.pool2.impl,EvictionConfig,38,37,0,4,9,12,1,6,1,4,57.14285714,100,7
Apache Commons Pool,org.apache.commons.pool2.impl,BaseObjectPoolConfig,161,173,0,0,41,67,5,34,5,34,62.03703704,,39
Apache Commons Pool,org.apache.commons.pool2.impl,PooledSoftReference,5,52,0,0,0,15,0,5,0,5,100,,5
Apache Commons Pool,org.apache.commons.pool2.impl,DefaultPooledObjectInfo,31,79,2,0,8,17,3,10,2,10,68,0,13
Apache Commons Pool,org.apache.commons.pool2.impl,CallStackUtils,25,16,3,3,7,4,5,2,2,2,36.36363636,50,7
Apache Commons Pool,org.apache.commons.pool2.impl,ThrowableCallStack.Snapshot,0,6,0,0,0,2,0,1,0,1,100,,1
Apache Commons Pool,org.apache.commons.pool2.impl,SoftReferenceObjectPool,57,493,22,42,15,137,23,24,1,14,90.13157895,65.625,47
Apache Commons Pool,org.apache.commons.pool2.impl,DefaultEvictionPolicy,0,23,0,6,0,6,0,5,0,2,100,100,5
Apache Commons Pool,org.apache.commons.pool2.impl,GenericKeyedObjectPool.ObjectDeque,47,49,0,0,11,12,1,5,1,5,52.17391304,,6
Apache Commons Pool,org.apache.commons.pool2.impl,BaseGenericObjectPool.IdentityWrapper,24,22,2,2,6,5,4,3,2,3,45.45454545,50,7
Apache Commons Pool,org.apache.commons.pool2.impl,GenericKeyedObjectPoolConfig,49,43,0,0,13,18,2,9,2,9,58.06451613,,11
Apache Commons Pool,org.apache.commons.pool2.impl,BaseGenericObjectPool,41,985,8,22,13,269,7,70,1,61,95.39007092,73.33333333,77
Apache Commons Pool,org.apache.commons.pool2.impl,SecurityManagerCallStack.Snapshot,9,0,0,0,4,0,1,0,1,0,0,,1
Apache Commons Pool,org.apache.commons.pool2.impl,EvictionTimer,15,50,0,8,6,16,2,6,2,2,72.72727273,100,8
Apache Commons Pool,org.apache.commons.pool2.impl,EvictionTimer.EvictorThreadFactory,0,22,0,0,0,5,0,2,0,2,100,,2
Apache Commons Pool,org.apache.commons.pool2.impl,PoolImplUtils,13,147,11,23,5,34,12,10,1,4,87.17948718,67.64705882,22
Apache Commons Pool,org.apache.commons.pool2.impl,NoOpCallStack,3,9,0,0,2,4,2,3,2,3,66.66666667,,5
Apache Commons Pool,org.apache.commons.pool2.impl,LinkedBlockingDeque.Node,0,12,0,0,0,5,0,1,0,1,100,,1
Apache Commons Pool,org.apache.commons.pool2.impl,GenericObjectPool,170,1264,39,155,45,362,36,99,7,31,88.94348894,79.89690722,135
Apache Commons Pool,org.apache.commons.pool2.impl,LinkedBlockingDeque.AbstractItr,24,125,2,16,1,38,2,13,0,6,97.43589744,88.88888889,15
Apache Commons Pool,org.apache.commons.pool2.impl,SecurityManagerCallStack.PrivateSecurityManager,37,0,2,0,6,0,3,0,2,0,0,0,3
Apache Commons Pool,org.apache.commons.pool2.impl,BaseGenericObjectPool.StatsStore,0,131,0,8,0,28,0,8,0,4,100,100,8
Apache Commons Pool,org.apache.commons.pool2.impl,LinkedBlockingDeque.DescendingItr,0,14,0,0,0,3,0,3,0,3,100,,3
Apache Commons Pool,org.apache.commons.pool2.impl,BaseGenericObjectPool.EvictionIterator,4,33,0,2,2,9,1,5,1,4,81.81818182,100,6
Apache Commons Pool,org.apache.commons.pool2.impl,SecurityManagerCallStack,93,0,8,0,22,0,8,0,4,0,0,0,8
Apache Commons Pool,org.apache.commons.pool2.impl,BaseGenericObjectPool.Evictor,27,47,2,2,8,17,2,4,0,4,68,50,6
Apache Commons Pool,org.apache.commons.pool2.impl,SecurityManagerCallStack.new PrivilegedAction() {...},11,0,0,0,2,0,2,0,2,0,0,,2
Apache Commons Pool,org.apache.commons.pool2.impl,LinkedBlockingDeque,255,1060,16,102,50,292,16,104,2,59,85.38011696,86.44067797,120
Apache Commons Pool,org.apache.commons.pool2.impl,InterruptibleReentrantLock,0,22,0,2,0,7,0,3,0,2,100,100,3
Apache Commons Pool,org.apache.commons.pool2.impl,EvictionTimer.EvictorThreadFactory.new PrivilegedAction() {...},0,16,0,0,0,3,0,2,0,2,100,,2
Apache Commons Pool,org.apache.commons.pool2.impl,GenericKeyedObjectPool,366,1666,49,183,79,469,41,117,5,37,85.58394161,78.87931034,158
Apache Commons Pool,org.apache.commons.pool2.impl,GenericObjectPoolConfig,40,33,0,0,11,13,2,7,2,7,54.16666667,,9
Apache Commons Pool,org.apache.commons.pool2,BasePooledObjectFactory,0,13,0,0,0,6,0,6,0,6,100,,6
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.ErodingPerKeyKeyedObjectPool,0,53,0,2,0,11,0,4,0,3,100,100,4
Apache Commons Pool,org.apache.commons.pool2,BaseObject,1,27,0,0,1,7,1,2,1,2,87.5,,3
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.SynchronizedObjectPool,57,144,1,1,7,52,1,10,0,10,88.13559322,50,11
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.SynchronizedKeyedObjectPool,67,197,0,2,8,67,0,14,0,13,89.33333333,100,14
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.ErodingObjectPool,14,98,1,5,6,29,2,11,1,9,82.85714286,83.33333333,13
Apache Commons Pool,org.apache.commons.pool2,PoolUtils,5,265,1,43,1,72,1,39,0,18,98.63013699,97.72727273,40
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.ErodingFactor,0,72,0,0,0,13,0,4,0,4,100,,4
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.KeyedObjectPoolMinIdleTimerTask,17,80,5,5,2,22,4,4,0,3,91.66666667,50,8
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.SynchronizedKeyedPooledObjectFactory,30,107,0,2,2,32,0,8,0,7,94.11764706,100,8
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.ErodingKeyedObjectPool,30,122,2,6,10,36,5,15,3,13,78.26086957,75,20
Apache Commons Pool,org.apache.commons.pool2,BaseObjectPool,0,44,0,2,0,15,0,10,0,9,100,100,10
Apache Commons Pool,org.apache.commons.pool2,BaseKeyedPooledObjectFactory,0,14,0,0,0,6,0,6,0,6,100,,6
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.ObjectPoolMinIdleTimerTask,17,66,5,5,2,20,4,4,0,3,90.90909091,50,8
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.TimerHolder,0,9,0,0,0,2,0,2,0,2,100,,2
Apache Commons Pool,org.apache.commons.pool2,PooledObjectState,9,109,0,0,0,11,2,2,2,2,100,,4
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.SynchronizedPooledObjectFactory,30,102,0,2,2,32,0,8,0,7,94.11764706,100,8
Apache Commons Pool,org.apache.commons.pool2.proxy,ProxiedKeyedObjectPool,48,71,1,1,12,23,5,9,4,9,65.71428571,50,14
Apache Commons Pool,org.apache.commons.pool2.proxy,CglibProxyHandler,0,10,0,0,0,3,0,2,0,2,100,,2
Apache Commons Pool,org.apache.commons.pool2.proxy,ProxiedObjectPool,29,71,1,1,7,24,2,9,1,9,77.41935484,50,11
Apache Commons Pool,org.apache.commons.pool2.proxy,JdkProxySource,30,41,0,0,7,11,1,3,1,3,61.11111111,,4
Apache Commons Pool,org.apache.commons.pool2.proxy,JdkProxyHandler,0,10,0,0,0,3,0,2,0,2,100,,2
Apache Commons Pool,org.apache.commons.pool2.proxy,BaseProxyHandler,35,46,0,4,8,16,1,7,1,5,66.66666667,100,8
Apache Commons Pool,org.apache.commons.pool2.proxy,CglibProxySource,20,39,0,0,5,13,1,3,1,3,72.22222222,,4
